metal,marker
ArAr80,ArAr80
In113,Total HH3
Xe126,Xe126
I127,I127
Xe131,Xe131
Xe134,Xe134
La139,H3K27me3
Ce140,Ce140
Pr141,CK5
Nd142,Fibronectin
Nd143,CK19
Nd144,CK8_18
Nd145,Twist
Nd146,CD68
Sm147,CK14
Nd148,SMA
Sm149,Vimentin
Nd150,C-myc
Eu151,HER2
Sm152,CD3
Eu153,p-HH3
Sm154,p-ERK1/2
Gd155,Slug
Gd156,ER
Gd158,PR
Tb159,p53
Gd160,CD44
Dy161,EpCAM
Dy162,CD45
Dy163,GATA3
Dy164,CD20
Ho165,Beta-catenin
Er166,CAIX
Er167,E_cadherin
Er168,Ki67
Tm169,EGFR
Er170,pS6
Yb171,Sox9
Yb172,vWF-CD31
Yb173,mTOR
Yb174,CK7
Lu175,panCK
Yb176,cPARP-cCasp3
Ir191,DNA1
Ir193,DNA2
Hg202,Hg202
Pb204,Pb204
Pb206,Pb206
Pb207,Pb207
Pb208,Pb208
